,ticker
1401,WH
1402,WHR
1403,WLK
1404,WM
1405,WMB
1406,WMG
1407,WMS
1408,WMT
1409,WNC
1410,WOR
1411,WPC
1412,WPP
1413,WRE
1414,WRK
1415,WRLD
1416,WSC
1417,WTI
1418,WTRG
1419,WTW
1420,WU
1421,WW
1422,WWW
1423,WY
1424,WYNN
1425,X
1426,XEL
1427,XELA
1428,XHR
1429,XOM
1430,XPER
1431,XPO
1432,XRAY
1433,XRX
1434,XYL
1435,YELL
1436,YORW
1437,YPFD
1438,YRI
1439,YUM
1440,ZBH
1441,ZBRA
1442,ZD
1443,ZI
1444,ZION
1445,ZIP
1446,ZTS
1447,ZWS
