Walmart Inc. (NYSE:WMT)
Mitsubishi UFJ Financial Group, Inc. (TSE:8306)
Philip Morris International Inc. (NYSE:PM)
Takeda Pharmaceutical Company Limited (TSE:4502)
Jabil Inc. (NYSE:JBL)
Linde plc (NYSE:LIN)
Micron Technology, Inc. (NasdaqGS:MU)
Barclays PLC (LSE:BARC)
CRH plc (ISE:CRG)
Starbucks Corporation (NasdaqGS:SBUX)
Deutsche Bank Aktiengesellschaft (XTRA:DBK)
Aegon N.V. (ENXTAM:AGN)
Netflix, Inc. (NasdaqGS:NFLX)
ABB Ltd (SWX:ABBN)
Cenovus Energy Inc. (TSX:CVE)
Mondelez International, Inc. (NasdaqGS:MDLZ)
Danaher Corporation (NYSE:DHR)
Hewlett Packard Enterprise Company (NYSE:HPE)
D.R. Horton, Inc. (NYSE:DHI)
Eli Lilly and Company (NYSE:LLY)
Gilead Sciences, Inc. (NasdaqGS:GILD)
ViacomCBS Inc. (NasdaqGS:VIAC)
Broadcom Inc. (NasdaqGS:AVGO)
Suncor Energy Inc. (TSX:SU)
United Natural Foods, Inc. (NYSE:UNFI)
Sun Life Financial Inc. (TSX:SLF)
Lennar Corporation (NYSE:LEN)
Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B)
The Kraft Heinz Company (NasdaqGS:KHC)
CBRE Group, Inc. (NYSE:CBRE)
Fomento Económico Mexicano, S.A.B. de C.V. (BMV:FEMSA UBD)
Dollar Tree, Inc. (NasdaqGS:DLTR)
Nokia Corporation (HLSE:NOKIA)
Amgen Inc. (NasdaqGS:AMGN)
Sumitomo Mitsui Financial Group, Inc. (TSE:8316)
Flex Ltd. (NasdaqGS:FLEX)
Penske Automotive Group, Inc. (NYSE:PAG)
AutoNation, Inc. (NYSE:AN)
salesforce.com, inc. (NYSE:CRM)
Imperial Oil Limited (TSX:IMO)
Duke Energy Corporation (NYSE:DUK)
PayPal Holdings, Inc. (NasdaqGS:PYPL)
American Airlines Group Inc. (NasdaqGS:AAL)
Rite Aid Corporation (NYSE:RAD)
NVIDIA Corporation (NasdaqGS:NVDA)
Ferguson plc (LSE:FERG)
Cummins Inc. (NYSE:CMI)
The Bank of Nova Scotia (TSX:BNS)
Johnson Controls International plc (NYSE:JCI)
Nutrien Ltd. (TSX:NTR)
U.S. Bancorp (NYSE:USB)
Macy's, Inc. (NYSE:M)
Applied Materials, Inc. (NasdaqGS:AMAT)
Truist Financial Corporation (NYSE:TFC)
Mizuho Financial Group, Inc. (TSE:8411)
Aflac Incorporated (NYSE:AFL)
McDonald's Corporation (NYSE:MCD)
The Southern Company (NYSE:SO)
PACCAR Inc (NasdaqGS:PCAR)
Schlumberger Limited (NYSE:SLB)
Occidental Petroleum Corporation (NYSE:OXY)
DuPont de Nemours, Inc. (NYSE:DD)
Banco Bilbao Vizcaya Argentaria, S.A. (BME:BBVA)
HDFC Bank Limited (NSEI:HDFCBANK)
NRG Energy, Inc. (NYSE:NRG)
Whirlpool Corporation (NYSE:WHR)
ORIX Corporation (TSE:8591)
International Paper Company (NYSE:IP)
Bank of Montreal (TSX:BMO)
ICICI Bank Limited (NSEI:ICICIBANK)
Itaú Unibanco Holding S.A. (BOVESPA:ITUB4)
Union Pacific Corporation (NYSE:UNP)
Freeport-McMoRan Inc. (NYSE:FCX)
C.H. Robinson Worldwide, Inc. (NasdaqGS:CHRW)
National Grid plc (LSE:NG.)
Altria Group, Inc. (NYSE:MO)
Novo Nordisk A/S (CPSE:NOVO B)
KT Corporation (KOSE:A030200)
Baker Hughes Company (NasdaqGS:BKR)
Lithia Motors, Inc. (NYSE:LAD)
Canadian Natural Resources Limited (TSX:CNQ)
Blackstone Inc. (NYSE:BX)
ManpowerGroup Inc. (NYSE:MAN)
Avnet, Inc. (NasdaqGS:AVT)
Credit Suisse Group AG (SWX:CSGN)
Becton, Dickinson and Company (NYSE:BDX)
CDW Corporation (NasdaqGS:CDW)
PG&E Corporation (NYSE:PCG)
Fresenius Medical Care AG & Co. KGaA (XTRA:FME)
Carrier Global Corporation (NYSE:CARR)
Lumen Technologies, Inc. (NYSE:LUMN)
United Airlines Holdings, Inc. (NasdaqGS:UAL)
Ultrapar Participações S.A. (BOVESPA:UGPA3)
The Sherwin-Williams Company (NYSE:SHW)
Lear Corporation (NYSE:LEA)
Ecopetrol S.A. (BVC:ECOPETROL)
Tenet Healthcare Corporation (NYSE:THC)
Eaton Corporation plc (NYSE:ETN)
Kimberly-Clark Corporation (NYSE:KMB)
Marsh & McLennan Companies, Inc. (NYSE:MMC)
Kohl's Corporation (NYSE:KSS)
Kyndryl Holdings, Inc. (NYSE:KD)
The PNC Financial Services Group, Inc. (NYSE:PNC)
WestRock Company (NYSE:WRK)
General Mills, Inc. (NYSE:GIS)
BCE Inc. (TSX:BCE)
XPO Logistics, Inc. (NYSE:XPO)
Genuine Parts Company (NYSE:GPC)
Tenneco Inc. (NYSE:TEN)
Emerson Electric Co. (NYSE:EMR)
Ross Stores, Inc. (NasdaqGS:ROST)
L3Harris Technologies, Inc. (NYSE:LHX)
DISH Network Corporation (NasdaqGS:DISH)
The Charles Schwab Corporation (NYSE:SCHW)
Builders FirstSource, Inc. (NYSE:BLDR)
Mastercard Incorporated (NYSE:MA)
Braskem S.A. (BOVESPA:BRKM5)
Texas Instruments Incorporated (NasdaqGS:TXN)
Diageo plc (LSE:DGE)
WESCO International, Inc. (NYSE:WCC)
Cleveland-Cliffs Inc. (NYSE:CLF)
Colgate-Palmolive Company (NYSE:CL)
WPP plc (LSE:WPP)
Waste Management, Inc. (NYSE:WM)
United States Steel Corporation (NYSE:X)
Stanley Black & Decker, Inc. (NYSE:SWK)
Viatris Inc. (NasdaqGS:VTRS)
The Estée Lauder Companies Inc. (NYSE:EL)
DXC Technology Company (NYSE:DXC)
Block, Inc. (NYSE:SQ)
EOG Resources, Inc. (NYSE:EOG)
Stryker Corporation (NYSE:SYK)
The Gap, Inc. (NYSE:GPS)
Laboratory Corporation of America Holdings (NYSE:LH)
SK Telecom Co.,Ltd (KOSE:A017670)
NextEra Energy, Inc. (NYSE:NEE)
PPG Industries, Inc. (NYSE:PPG)
American Electric Power Company, Inc. (NasdaqGS:AEP)
BJ's Wholesale Club Holdings, Inc. (NYSE:BJ)
Teva Pharmaceutical Industries Limited (NYSE:TEVA)
The Goodyear Tire & Rubber Company (NasdaqGS:GT)
Canadian Imperial Bank of Commerce (TSX:CM)
The Bank of New York Mellon Corporation (NYSE:BK)
Fiserv, Inc. (NasdaqGS:FISV)
Westpac Banking Corporation (ASX:WBC)
Lam Research Corporation (NasdaqGS:LRCX)
Steel Dynamics, Inc. (NasdaqGS:STLD)
Aptiv PLC (NYSE:APTV)
HollyFrontier Corporation (NYSE:HFC)
Infosys Limited (NSEI:INFY)
NatWest Group plc (LSE:NWG)
Murphy USA Inc. (NYSE:MUSA)
Adobe Inc. (NasdaqGS:ADBE)
Corteva, Inc. (NYSE:CTVA)
E. I. du Pont de Nemours and Company
Automatic Data Processing, Inc. (NasdaqGS:ADP)
Kinder Morgan, Inc. (NYSE:KMI)
Sunoco LP (NYSE:SUN)
Enel Américas S.A. (SNSE:ENELAM)
AutoZone, Inc. (NYSE:AZO)
BorgWarner Inc. (NYSE:BWA)
TE Connectivity Ltd. (NYSE:TEL)
Parker-Hannifin Corporation (NYSE:PH)
Advanced Micro Devices, Inc. (NasdaqGS:AMD)
Uber Technologies, Inc. (NYSE:UBER)
Loews Corporation (NYSE:L)
CEMEX, S.A.B. de C.V. (BMV:CEMEX CPO)
Qurate Retail, Inc. (NasdaqGS:QRTE.A)
Pioneer Natural Resources Company (NYSE:PXD)
Halliburton Company (NYSE:HAL)
Illinois Tool Works Inc. (NYSE:ITW)
Kellogg Company (NYSE:K)
Otis Worldwide Corporation (NYSE:OTIS)
Omnicom Group Inc. (NYSE:OMC)
DTE Energy Company (NYSE:DTE)
Sasol Limited (JSE:SOL)
Targa Resources Corp. (NYSE:TRGP)
Fluor Corporation (NYSE:FLR)
Pilgrim's Pride Corporation (NasdaqGS:PPC)
Berry Global Group, Inc. (NYSE:BERY)
Corning Incorporated (NYSE:GLW)
Trane Technologies plc (NYSE:TT)
Thor Industries, Inc. (NYSE:THO)
Cheniere Energy, Inc. (NYSEAM:LNG)
ONEOK, Inc. (NYSE:OKE)
Adient plc (NYSE:ADNT)
Dominion Energy, Inc. (NYSE:D)
IQVIA Holdings Inc. (NYSE:IQV)
Fidelity National Information Services, Inc. (NYSE:FIS)
Leidos Holdings, Inc. (NYSE:LDOS)
Regeneron Pharmaceuticals, Inc. (NasdaqGS:REGN)
AECOM (NYSE:ACM)
Ball Corporation (NYSE:BLL)
Fox Corporation (NasdaqGS:FOXA)
Consolidated Edison, Inc. (NYSE:ED)
Group 1 Automotive, Inc. (NYSE:GPI)
Amcor plc (ASX:AMC)
Xcel Energy Inc. (NasdaqGS:XEL)
TELUS Corporation (TSX:T)
TechnipFMC plc (NYSE:FTI)
Bath & Body Works, Inc. (NYSE:BBWI)
Gerdau S.A. (BOVESPA:GGBR4)
Crown Holdings, Inc. (NYSE:CCK)
O'Reilly Automotive, Inc. (NasdaqGS:ORLY)
LKQ Corporation (NasdaqGS:LKQ)
Ambev S.A. (BOVESPA:ABEV3)
PulteGroup, Inc. (NYSE:PHM)
Southwest Airlines Co. (NYSE:LUV)
Textron Inc. (NYSE:TXT)
VMware, Inc. (NYSE:VMW)
W.W. Grainger, Inc. (NYSE:GWW)
Universal Health Services, Inc. (NYSE:UHS)
Baxter International Inc. (NYSE:BAX)
STMicroelectronics N.V. (ENXTPA:STM)
Ecolab Inc. (NYSE:ECL)
Keurig Dr Pepper Inc. (NasdaqGS:KDP)
Tractor Supply Company (NasdaqGS:TSCO)
Community Health Systems, Inc. (NYSE:CYH)
Reliance Steel & Aluminum Co. (NYSE:RS)
Newmont Corporation (NYSE:NEM)
Sempra (NYSE:SRE)
Liberty Global plc (NasdaqGS:LBTY.A)
Aramark (NYSE:ARMK)
Aon plc (NYSE:AON)
DICK'S Sporting Goods, Inc. (NYSE:DKS)
Sonic Automotive, Inc. (NYSE:SAH)
Quanta Services, Inc. (NYSE:PWR)
Barrick Gold Corporation (TSX:ABX)
CSX Corporation (NasdaqGS:CSX)
State Street Corporation (NYSE:STT)
Discovery, Inc. (NasdaqGS:DISC.A)
Icahn Enterprises L.P. (NasdaqGS:IEP)
eBay Inc. (NasdaqGS:EBAY)
DaVita Inc. (NYSE:DVA)
Discover Financial Services (NYSE:DFS)
Seagate Technology Holdings plc (NasdaqGS:STX)
Boston Scientific Corporation (NYSE:BSX)
J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)
Rogers Communications Inc. (TSX:RCI.B)
Entergy Corporation (NYSE:ETR)
Hormel Foods Corporation (NYSE:HRL)
Sibanye Stillwater Limited (JSE:SSW)
Canadian National Railway Company (TSX:CNR)
Global Partners LP (NYSE:GLP)
KB Financial Group Inc. (KOSE:A105560)
Vistra Corp. (NYSE:VST)
Conagra Brands, Inc. (NYSE:CAG)
Alcoa Corporation (NYSE:AA)
Nomura Holdings, Inc. (TSE:8604)
Biogen Inc. (NasdaqGS:BIIB)
Mohawk Industries, Inc. (NYSE:MHK)
YPF Sociedad Anónima (BASE:YPFD)
Quest Diagnostics Incorporated (NYSE:DGX)
FirstEnergy Corp. (NYSE:FE)
The Mosaic Company (NYSE:MOS)
Advance Auto Parts, Inc. (NYSE:AAP)
V.F. Corporation (NYSE:VFC)
Republic Services, Inc. (NYSE:RSG)
Carvana Co. (NYSE:CVNA)
Norfolk Southern Corporation (NYSE:NSC)
Brookfield Infrastructure Partners L.P. (NYSE:BIP)
AGCO Corporation (NYSE:AGCO)
NXP Semiconductors N.V. (NasdaqGS:NXPI)
Newell Brands Inc. (NasdaqGS:NWL)
Southern Copper Corporation (NYSE:SCCO)
The AES Corporation (NYSE:AES)
Devon Energy Corporation (NYSE:DVN)
TC Energy Corporation (TSX:TRP)
Shinhan Financial Group Co., Ltd. (KOSE:A055550)
Air Products and Chemicals, Inc. (NYSE:APD)
Intuit Inc. (NasdaqGS:INTU)
Amphenol Corporation (NYSE:APH)
Westlake Chemical Corporation (NYSE:WLK)
Jones Lang LaSalle Incorporated (NYSE:JLL)
Altice USA, Inc. (NYSE:ATUS)
Weyerhaeuser Company (NYSE:WY)
West Fraser Timber Co. Ltd. (TSX:WFG)
Eastman Chemical Company (NYSE:EMN)
Molson Coors Beverage Company (NYSE:TAP)
International Flavors & Fragrances Inc. (NYSE:IFF)
Raymond James Financial, Inc. (NYSE:RJF)
News Corporation (NasdaqGS:NWSA)
Willis Towers Watson Public Limited Company (NasdaqGS:WTW)
Owens & Minor, Inc. (NYSE:OMI)
RELX PLC (LSE:REL)
Eversource Energy (NYSE:ES)
Huntington Ingalls Industries, Inc. (NYSE:HII)
CGI Inc. (TSX:GIB.A)
Banco Santander (Brasil) S.A. (BOVESPA:SANB4)
EMCOR Group, Inc. (NYSE:EME)
The Williams Companies, Inc. (NYSE:WMB)
Delek US Holdings, Inc. (NYSE:DK)
Asbury Automotive Group, Inc. (NYSE:ABG)
Arch Capital Group Ltd. (NasdaqGS:ACGL)
Ryder System, Inc. (NYSE:R)
Coca-Cola FEMSA, S.A.B. de C.V. (NYSE:KOF)
Synchrony Financial (NYSE:SYF)
MPLX LP (NYSE:MPLX)
United Rentals, Inc. (NYSE:URI)
Booking Holdings Inc. (NasdaqGS:BKNG)
Teck Resources Limited (TSX:TECK.B)
NVR, Inc. (NYSE:NVR)
Univar Solutions Inc. (NYSE:UNVR)
Public Service Enterprise Group Incorporated (NYSE:PEG)
Activision Blizzard, Inc. (NasdaqGS:ATVI)
American Tower Corporation (NYSE:AMT)
Ovintiv Inc. (TSX:OVV)
Burlington Stores, Inc. (NYSE:BURL)
DCP Midstream, LP (NYSE:DCP)
The Interpublic Group of Companies, Inc. (NYSE:IPG)
The Hershey Company (NYSE:HSY)
PVH Corp. (NYSE:PVH)
Foot Locker, Inc. (NYSE:FL)
Toll Brothers, Inc. (NYSE:TOL)
Dana Incorporated (NYSE:DAN)
Cushman & Wakefield plc (NYSE:CWK)
Companhia Siderúrgica Nacional (BOVESPA:CSNA3)
Constellation Brands, Inc. (NYSE:STZ)
Autoliv, Inc. (NYSE:ALV)
Darden Restaurants, Inc. (NYSE:DRI)
CommScope Holding Company, Inc. (NasdaqGS:COMM)
Bausch Health Companies Inc. (NYSE:BHC)
Bed Bath & Beyond Inc. (NasdaqGS:BBBY)
Franklin Resources, Inc. (NYSE:BEN)
Caesars Entertainment, Inc. (NasdaqGS:CZR)
Campbell Soup Company (NYSE:CPB)
The Carlyle Group Inc. (NasdaqGS:CG)
Owens Corning (NYSE:OC)
Global Payments Inc. (NYSE:GPN)
Avery Dennison Corporation (NYSE:AVY)
Masco Corporation (NYSE:MAS)
Fifth Third Bancorp (NasdaqGS:FITB)
Jefferies Financial Group Inc. (NYSE:JEF)
Cheniere Energy Partners, L.P. (NYSEAM:CQP)
Olin Corporation (NYSE:OLN)
Motorola Solutions, Inc. (NYSE:MSI)
MGM Resorts International (NYSE:MGM)
Avis Budget Group, Inc. (NasdaqGS:CAR)
CenterPoint Energy, Inc. (NYSE:CNP)
Alcon Inc. (SWX:ALC)
WEC Energy Group, Inc. (NYSE:WEC)
The J. M. Smucker Company (NYSE:SJM)
Zimmer Biomet Holdings, Inc. (NYSE:ZBH)
Jackson Financial Inc. (NYSE:JXN)
Huntsman Corporation (NYSE:HUN)
PPL Corporation (NYSE:PPL)
MasTec, Inc. (NYSE:MTZ)
Westinghouse Air Brake Technologies Corporation (NYSE:WAB)
Oshkosh Corporation (NYSE:OSK)
Arthur J. Gallagher & Co. (NYSE:AJG)
Dover Corporation (NYSE:DOV)
Boise Cascade Company (NYSE:BCC)
Zoetis Inc. (NYSE:ZTS)
KeyCorp (NYSE:KEY)
Chunghwa Telecom Co., Ltd. (TWSE:2412)
Natura &Co Holding S.A. (BOVESPA:NTCO3)
KLA Corporation (NasdaqGS:KLAC)
GXO Logistics, Inc. (NYSE:GXO)
Cintas Corporation (NasdaqGS:CTAS)
Packaging Corporation of America (NYSE:PKG)
Fortune Brands Home & Security, Inc. (NYSE:FBHS)
Science Applications International Corporation (NYSE:SAIC)
Commercial Metals Company (NYSE:CMC)
Analog Devices, Inc. (NasdaqGS:ADI)
CMS Energy Corporation (NYSE:CMS)
Fortis Inc. (TSX:FTS)
Hanesbrands Inc. (NYSE:HBI)
Avantor, Inc. (NYSE:AVTR)
Expedia Group, Inc. (NasdaqGS:EXPE)
The Clorox Company (NYSE:CLX)
Signet Jewelers Limited (NYSE:SIG)
Xerox Holdings Corporation (NasdaqGS:XRX)
Ally Financial Inc. (NYSE:ALLY)
Regions Financial Corporation (NYSE:RF)
APA Corporation (NasdaqGS:APA)
Rockwell Automation, Inc. (NYSE:ROK)
Intercontinental Exchange, Inc. (NYSE:ICE)
Suzano S.A. (BOVESPA:SUZB3)
Citizens Financial Group, Inc. (NYSE:CFG)
Arconic Corporation (NYSE:ARNC)
Invesco Ltd. (NYSE:IVZ)
Sanmina Corporation (NasdaqGS:SANM)
NCR Corporation (NYSE:NCR)
Ingredion Incorporated (NYSE:INGR)
Avangrid, Inc. (NYSE:AGR)
Victoria's Secret & Co. (NYSE:VSCO)
Arko Corp. (NasdaqCM:ARKO)
Beacon Roofing Supply, Inc. (NasdaqGS:BECN)
Constellium SE (NYSE:CSTM)
Hertz Global Holdings, Inc. (NasdaqGS:HTZ)
Centrais Elétricas Brasileiras S.A. - Eletrobrás (BOVESPA:ELET6)
Hess Corporation (NYSE:HES)
Taylor Morrison Home Corporation (NYSE:TMHC)
Brookfield Property Partners L.P.
Equinix, Inc. (NasdaqGS:EQIX)
NGL Energy Partners LP (NYSE:NGL)
Chesapeake Energy Corporation (NasdaqGS:CHK)
Yum! Brands, Inc. (NYSE:YUM)
Nielsen Holdings plc (NYSE:NLSN)
Electronic Arts Inc. (NasdaqGS:EA)
Northern Trust Corporation (NasdaqGS:NTRS)
ON Semiconductor Corporation (NasdaqGS:ON)
Pembina Pipeline Corporation (TSX:PPL)
Agilent Technologies, Inc. (NYSE:A)
KBR, Inc. (NYSE:KBR)
RPM International Inc. (NYSE:RPM)
Canadian Pacific Railway Limited (TSX:CP)
Roper Technologies, Inc. (NYSE:ROP)
O-I Glass, Inc. (NYSE:OI)
MercadoLibre, Inc. (NasdaqGS:MELI)
Thomson Reuters Corporation (TSX:TRI)
CVR Energy, Inc. (NYSE:CVI)
ICL Group Ltd (TASE:ICL)
Post Holdings, Inc. (NYSE:POST)
Crown Castle International Corp. (NYSE:CCI)
Ameren Corporation (NYSE:AEE)
Sinclair Broadcast Group, Inc. (NasdaqGS:SBGI)
Grifols, S.A. (BME:GRF)
McCormick & Company, Incorporated (NYSE:MKC)
Hasbro, Inc. (NasdaqGS:HAS)
The Chemours Company (NYSE:CC)
CACI International Inc (NYSE:CACI)
Tapestry, Inc. (NYSE:TPR)
Apollo Global Management, Inc. (NYSE:APO)
Moody's Corporation (NYSE:MCO)
Dillard's, Inc. (NYSE:DDS)
Waste Connections, Inc. (NYSE:WCN)
Coinbase Global, Inc. (NasdaqGS:COIN)
Herbalife Nutrition Ltd. (NYSE:HLF)
Resideo Technologies, Inc. (NYSE:REZI)
Ingersoll Rand Inc. (NYSE:IR)
Nasdaq, Inc. (NasdaqGS:NDAQ)
GameStop Corp. (NYSE:GME)
Amkor Technology, Inc. (NasdaqGS:AMKR)
Companhia Energética de Minas Gerais (BOVESPA:CMIG4)
KB Home (NYSE:KBH)
EnLink Midstream, LLC (NYSE:ENLC)
Antero Resources Corporation (NYSE:AR)
Hologic, Inc. (NasdaqGS:HOLX)
MDU Resources Group, Inc. (NYSE:MDU)
Ralph Lauren Corporation (NYSE:RL)
SVB Financial Group (NasdaqGS:SIVB)
Brunswick Corporation (NYSE:BC)
Evergy, Inc. (NYSE:EVRG)
Under Armour, Inc. (NYSE:UAA)
Greif, Inc. (NYSE:GEF)
Restaurant Brands International Inc. (NYSE:QSR)
Diamondback Energy, Inc. (NasdaqGS:FANG)
ServiceNow, Inc. (NYSE:NOW)
Sonoco Products Company (NYSE:SON)
Celestica Inc. (TSX:CLS)
Zebra Technologies Corporation (NasdaqGS:ZBRA)
Levi Strauss & Co. (NYSE:LEVI)
Silgan Holdings Inc. (NasdaqGS:SLGN)
Coca-Cola Consolidated, Inc. (NasdaqGS:COKE)
Huntington Bancshares Incorporated (NasdaqGS:HBAN)
Penn National Gaming, Inc. (NasdaqGS:PENN)
American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)
Sealed Air Corporation (NYSE:SEE)
Telephone and Data Systems, Inc. (NYSE:TDS)
NOV Inc. (NYSE:NOV)
Cornerstone Building Brands, Inc. (NYSE:CNR)
Warner Music Group Corp. (NasdaqGS:WMG)
Mattel, Inc. (NasdaqGS:MAT)
RenaissanceRe Holdings Ltd. (NYSE:RNR)
Brighthouse Financial, Inc. (NasdaqGS:BHF)
Xylem Inc. (NYSE:XYL)
AMETEK, Inc. (NYSE:AME)
M&T Bank Corporation (NYSE:MTB)
Fortive Corporation (NYSE:FTV)
Broadridge Financial Solutions, Inc. (NYSE:BR)
Smith & Nephew plc (LSE:SN.)
Vulcan Materials Company (NYSE:VMC)
Church & Dwight Co., Inc. (NYSE:CHD)
Skyworks Solutions, Inc. (NasdaqGS:SWKS)
CF Industries Holdings, Inc. (NYSE:CF)
Edwards Lifesciences Corporation (NYSE:EW)
Alaska Air Group, Inc. (NYSE:ALK)
Pactiv Evergreen Inc. (NasdaqGS:PTVE)
Perrigo Company plc (NYSE:PRGO)
The Western Union Company (NYSE:WU)
PerkinElmer, Inc. (NYSE:PKI)
Meritage Homes Corporation (NYSE:MTH)
Capri Holdings Limited (NYSE:CPRI)
Harley-Davidson, Inc. (NYSE:HOG)
Encompass Health Corporation (NYSE:EHC)
M.D.C. Holdings, Inc. (NYSE:MDC)
Grupo Televisa, S.A.B. (BMV:TLEVISA CPO)
Ryerson Holding Corporation (NYSE:RYI)
Ingles Markets, Incorporated (NasdaqGS:IMKT.A)
Syneos Health, Inc. (NasdaqGS:SYNH)
Yellow Corporation (NasdaqGS:YELL)
